,Heartrate,TotalSteps,sleepMin,Label
465,84.70883534,10114,535,LowA
466,77.38148984,10114,535,Low
467,73.85784314,10114,535,Low
468,73.19369369,10114,535,Low
469,77.36585366,10114,535,Low
470,72.97601918,10114,535,Low
471,83.26851852,10114,535,LowA
472,73.73246753,10114,535,Low
473,73.3562341,10114,535,Low
474,72.18139535,10114,535,Low
475,88.35814889,10114,535,LowA
476,80.67811159,10114,535,LowA
477,92.68034557,10114,535,LowA
478,89.87920792,10114,535,LowA
479,73.18481013,10114,535,Low
480,70.71590909,10114,535,Low
481,60.07739938,11306,451,Low
482,60.10591899999999,11306,451,Low
483,62.80519481,11306,451,Low
484,60.73754153,11306,451,Low
485,60.46229508,11306,451,Low
486,58.48888889,11306,451,Low
487,68.73804100000001,11306,451,Low
488,72.70045045,11306,451,Low
489,62.79459459,11306,451,Low
490,62.36982249,11306,451,Low
491,62.29891304,11306,451,Low
492,60.9729064,11306,451,Low
493,63.45081967,11306,451,Low
494,64.15789474,11306,451,Low
495,63.17914439,11306,451,Low
496,61.73638968,11306,451,Low
497,111.29173840000001,11306,451,LowA
498,81.06117647,11306,451,LowA
499,78.01622718,11306,451,Low
500,70.34663342,11306,451,Low
501,69.04488778,11306,451,Low
502,70.27707809,11306,451,Low
503,62.17101449,11306,451,Low
504,60.21676301,11306,451,Low
505,93.38513514,9910,63,High
506,83.89244851,9910,63,High
507,78.96833773,9910,63,High
508,80.96875,9910,63,High
509,82.50292398,9910,63,High
510,97.13856813,9910,63,High
511,91.33114035,9910,63,High
512,79.42118227,9910,63,High
513,89.83916084,9910,63,High
514,78.4676259,9910,63,High
515,94.20096852,9910,63,High
516,89.98102981,9910,63,High
517,96.42889391,9910,63,High
518,94.88546256,9910,63,High
519,87.11611374,9910,63,High
520,75.01036269,9910,63,High
521,63.57062147,9910,63,High
522,68.10410095,12010,354,Low
523,63.95017794,12010,354,Low
524,65.60150376,12010,354,Low
525,65.14900662,12010,354,Low
526,62.37920489,12010,354,Low
527,60.70863309,12010,354,Low
528,127.6795291,12010,354,LowA
529,89.22413793,12010,354,LowA
530,76.72027972,12010,354,Low
531,82.38559322,12010,354,LowA
532,75.03755869,12010,354,Low
533,85.10416667,12010,354,LowA
534,74.41926346,12010,354,Low
535,68.06340058,12010,354,Low
536,77.33415842,12010,354,Low
537,72.54626866,12010,354,Low
538,75.64871795,12010,354,Low
539,72.63366337,12010,354,Low
540,76.64114833,12010,354,Low
541,71.20418848,12010,354,Low
542,71.5245478,12010,354,Low
543,68.51231527,12010,354,Low
544,78.59929078,12010,354,Low
545,68.89777778,12010,354,Low
546,93.46405229,12084,69,High
547,108.9761905,12084,69,High
548,108.4686869,12084,69,High
549,96.62467192,12084,69,High
550,81.41207349,12084,69,High
551,84.52646240000001,12084,69,High
552,75.68820225,12084,69,High
553,62.24035608,12084,69,High
554,84.96073298,12084,69,High
555,89.83116883,12084,69,High
556,86.16883117,12084,69,High
557,82.48474576,12084,69,High
558,76.20113314,12084,69,High
559,70.47008547,12084,69,High
560,72.30662983,12084,69,High
561,78.31818182,12084,69,High
562,69.95355191,2332,413,Meduim
563,97.33125,2332,413,Meduim
564,73.76237624,2332,413,Meduim
565,78.03188406,2332,413,Meduim
566,67.17405063,2332,413,Meduim
567,66.86330935,2332,413,Meduim
568,59.92378049,2332,413,Meduim
569,61.88235294,2332,413,Meduim
570,62.18128655,2332,413,Meduim
571,62.98086124,2332,413,Meduim
572,71.2776204,2332,413,Meduim
573,69.48974359,2332,413,Meduim
574,72.04050633,2332,413,Meduim
575,70.34224599,2332,413,Meduim
576,73.49871465,2332,413,Meduim
577,71.21065375,2332,413,Meduim
578,61.43351064,2332,413,Meduim
579,66.48346056,2332,413,Meduim
580,67.12359551,2332,413,Meduim
581,71.59602649,2332,413,Meduim
582,69.20123839,2332,413,Meduim
583,70.96130952,2332,413,Meduim
584,70.85602094,2332,413,Meduim
585,76.0368272,2332,413,Meduim
586,72.91253644,11107,462,Low
587,74.27826087,11107,462,Low
588,65.98382749,11107,462,Low
589,67.10818713,11107,462,Low
590,67.36811594,11107,462,Low
591,63.12941176,11107,462,Low
592,64.08591065,11107,462,Low
593,96.48101266,11107,462,LowA
594,78.83185841,11107,462,Low
595,70.42821782,11107,462,Low
596,68.57983193,11107,462,Low
597,68.64054054,11107,462,Low
598,67.93861893,11107,462,Low
599,77.31621622,11107,462,Low
600,72.04120879,11107,462,Low
601,73.15662651,11107,462,Low
602,68.93384224,11107,462,Low
603,67.60891089,11107,462,Low
604,88.81467181,11107,462,LowA
605,90.28747433,11107,462,LowA
606,76.1025,11107,462,Low
607,78.61519608,11107,462,Low
608,73.89393939,11107,462,Low
609,83.95311496,7476,256,High
610,78.81818182,7476,256,High
611,82.66115702,7476,256,High
612,65.29489051,7476,256,Low
613,70.18836045,7476,256,Low
614,68.93449519,7476,256,Low
615,67.38765929,7476,256,Low
616,78.82848101,7476,256,High
617,74.28691983,7476,256,High
618,74.133292,7476,256,High
619,76.88650307,7476,256,High
620,78.0996264,7476,256,High
621,79.8748503,7476,256,High
622,86.82016349,7476,256,High
623,89.42307692,7476,256,High
624,100.097541,7476,256,High
625,88.17822521,7476,256,High
626,93.83228643,7476,256,High
627,93.77319588,7476,256,High
628,89.3170068,7476,256,High
629,98.26049869,7476,256,High
630,96.34515689,7476,256,High
631,96.59670165,7476,256,High
632,54.54512635,12252,392,Low
633,56.80456026,12252,392,Low
634,58.43260188,12252,392,Low
635,59.00323625,12252,392,Low
636,56.44554455,12252,392,Low
637,58.96989967,12252,392,Low
638,69.58231707,12252,392,Low
639,75.15367483,12252,392,Low
640,64.34876543,12252,392,Low
641,63.90461538,12252,392,Low
642,63.63486842,12252,392,Low
643,63.6910828,12252,392,Low
644,65.49431818,12252,392,Low
645,68.19095477,12252,392,Low
646,62.82461538,12252,392,Low
647,63.52173913,12252,392,Low
648,68.82513661,12252,392,Low
649,83.80293501,12252,392,LowA
650,77.10025063,12252,392,Low
651,69.26519337,12252,392,Low
652,68.09295775,12252,392,Low
653,71.71593533,12252,392,Low
654,68.57701711,12252,392,Low
655,56.75796178,12252,392,Low
656,47.93831169,11080,380,Low
657,49.11455108,11080,380,Low
658,49.63444109,11080,380,Low
659,45.61858974,11080,380,Low
660,45.32298137,11080,380,Low
661,61.61826698,11080,380,Low
662,103.5782881,11080,380,LowA
663,70.65,11080,380,Low
664,87.54656863,11080,380,LowA
665,68.63307494,11080,380,Low
666,60.69369369,11080,380,Low
